run_id,channels,run_number,width_mult,seed,experiment,wall,IoU_Ashlar,IoU_Polygonal,IoU_Quarry,IoU_mean_stones,F1_Ashlar,F1_Polygonal,F1_Quarry,macro_F1,source_experiment,n_models,checkpoint_filename
3ch_run1,3,1,base,42,v2_baseline_ens,wall1,0.8616422122357156,0.5955168446412633,0.5731221821130428,0.676760412996674,0.9256797107119068,0.7464876934911453,0.7286429352146264,0.8002701131392261,v2_yaw_correction-epsV1,5,model.pth
3ch_run1,3,1,base,42,v2_baseline_ens,wall2,0.960894168651572,,0.0,0.480447084325786,0.9800571433310348,,0.0,0.4900285716655174,v2_yaw_correction-epsV1,5,model.pth
3ch_run1,3,1,base,42,v2_baseline_ens,wall3,,0.8450354131461303,0.2778129658666955,0.5614241895064129,,0.916009966123292,0.4348257112546432,0.6754178386889675,v2_yaw_correction-epsV1,5,model.pth
3ch_run1,3,1,base,42,v2_baseline_ens,wall4,0.8206318078348944,0.0168767662180262,0.0466534036042953,0.294720659219072,0.9014802491128554,0.0331933362599962,0.0891477607460845,0.3412737820396454,v2_yaw_correction-epsV1,5,model.pth
3ch_run1,3,1,base,42,v2_baseline_ens,AllWalls,0.881056062907394,0.4858096746684732,0.2243971378960084,0.5304209584906252,,,,0.5767475763833392,v2_yaw_correction-epsV1,5,model.pth
4ch_run1,4,1,base,42,v2_baseline_ens,wall1,0.9166390174392444,0.7265326788567479,0.3388753574076035,0.6606823512345319,0.9565066860257644,0.8416089515755166,0.5062089693901763,0.7681082023304858,v2_yaw_correction-epsV1,5,model.pth
4ch_run1,4,1,base,42,v2_baseline_ens,wall2,0.9551383417047818,,0.0045157767818549,0.4798270592433184,0.9770544839010722,,0.0089909524294821,0.4930227181652772,v2_yaw_correction-epsV1,5,model.pth
4ch_run1,4,1,base,42,v2_baseline_ens,wall3,,0.795366913174249,0.278674167785171,0.53702054047971,,0.8860215784728064,0.4358798743355717,0.6609507264041891,v2_yaw_correction-epsV1,5,model.pth
4ch_run1,4,1,base,42,v2_baseline_ens,wall4,0.9475163178459745,0.1837812552692699,0.0667432287316549,0.3993469339489664,0.9730509666732476,0.3104986743981952,0.1251345720956895,0.4695614043890441,v2_yaw_correction-epsV1,5,model.pth
4ch_run1,4,1,base,42,v2_baseline_ens,AllWalls,0.939764558996667,0.5685602824334223,0.1722021326765711,0.5601756580355534,,,,0.5979107628222491,v2_yaw_correction-epsV1,5,model.pth
7ch_run1,7,1,base,42,v2_baseline_ens,wall1,0.9008897478186266,0.685778465102066,0.5984277530553433,0.728365321992012,0.9478611254045072,0.8136044910984733,0.7487704738753038,0.8367453634594281,v2_yaw_correction-epsV1,5,model.pth
7ch_run1,7,1,base,42,v2_baseline_ens,wall2,0.9629602390537069,,0.033822269871407094,0.498391254462557,0.98113066163574,,0.06543149796069707,0.5232810797982186,v2_yaw_correction-epsV1,5,model.pth
7ch_run1,7,1,base,42,v2_baseline_ens,wall3,,0.8700787705987532,0.38057249683025923,0.6253256337145062,,0.930526333198441,0.5513256242668008,0.7409259787326209,v2_yaw_correction-epsV1,5,model.pth
7ch_run1,7,1,base,42,v2_baseline_ens,wall4,0.9242586868727173,0.0933510433590524,0.06809898331095339,0.361902904514241,0.9606387053653495,0.1707613376802646,0.12751436781609196,0.419638136953902,v2_yaw_correction-epsV1,5,model.pth
7ch_run1,7,1,base,42,v2_baseline_ens,AllWalls,0.9293695579150169,0.5497360930199572,0.27023037576699077,0.583112008900655,,,,0.6301476397360424,v2_yaw_correction-epsV1,5,model.pth
