run_id,channels,run_number,width_mult,seed,experiment,wall,IoU_Ashlar,IoU_Polygonal,IoU_Quarry,IoU_mean_stones,F1_Ashlar,F1_Polygonal,F1_Quarry,macro_F1
slim_7ch_run1,7,1,slim,42,v3_architecture-size_slim,wall1,0.7581682842679612,0.4784753095374218,0.4965726732306189,0.5777387556786673,0.8624524637965876,0.6472550558685013,0.663613177111778,0.7244402322589556
slim_7ch_run1,7,1,slim,42,v3_architecture-size_slim,wall2,0.9618128442977474,,0.1282845785342982,0.5450487114160228,0.9805347610944396,,0.2273975572739755,0.6039661591842076
slim_7ch_run1,7,1,slim,42,v3_architecture-size_slim,wall3,,0.8504640591452484,0.2512661516030099,0.5508651053741291,,0.9191900322971828,0.4016190340977582,0.6604045331974705
slim_7ch_run1,7,1,slim,42,v3_architecture-size_slim,wall4,0.9054600077834548,0.0760635367142782,0.0254531783449845,0.3356589076142391,0.9503846883007953,0.1413736905286012,0.0496427899049751,0.3804670562447905
slim_7ch_run1,7,1,slim,42,v3_architecture-size_slim,AllWalls,0.8751470454497211,0.4683343017989829,0.2253941454282279,0.5229584975589773,,,,0.5923194952213561
slim_7ch_run2,7,2,slim,42,v3_architecture-size_slim,wall1,0.84216015438686,0.5842025740245558,0.4940648493732267,0.6401425259282142,0.9143180655399232,0.737535191020969,0.6613700196219612,0.7710744253942844
slim_7ch_run2,7,2,slim,42,v3_architecture-size_slim,wall2,0.9658079353432508,,0.0785639775431029,0.5221859564431769,0.982606609708909,,0.1456825541718285,0.5641445819403688
slim_7ch_run2,7,2,slim,42,v3_architecture-size_slim,wall3,,0.8328906394540911,0.2053829274167719,0.5191367834354315,,0.908827424316117,0.3407762342493489,0.6248018292827329
slim_7ch_run2,7,2,slim,42,v3_architecture-size_slim,wall4,0.9316676197480114,0.1029528986052163,0.0020062192797672,0.3455422458776649,0.964625187297542,0.1866859386931384,0.0040044048453298,0.3851051769453368
slim_7ch_run2,7,2,slim,42,v3_architecture-size_slim,AllWalls,0.913211903159374,0.5066820373612878,0.1950044934032172,0.5382994779746263,,,,0.5862815033906807
slim_7ch_run3,7,3,slim,42,v3_architecture-size_slim,wall1,0.8510952851243293,0.5657966416350345,0.510749005954759,0.6425469775713742,0.9195585899481832,0.722694922942508,0.6761533569661061,0.7728022899522659
slim_7ch_run3,7,3,slim,42,v3_architecture-size_slim,wall2,0.965701221726062,,0.007883789956857,0.4867925058414595,0.9825513776484196,,0.0156442439801408,0.4990978108142803
slim_7ch_run3,7,3,slim,42,v3_architecture-size_slim,wall3,,0.8365246148633722,0.220454395469244,0.5284895051663081,,0.9109865537256686,0.3612660928382875,0.636126323281978
slim_7ch_run3,7,3,slim,42,v3_architecture-size_slim,wall4,0.916533339094951,0.0715534655489675,0.0553682705077127,0.347818358383877,0.9564491474254944,0.1335509012838849,0.1049269189817055,0.3983089892303617
slim_7ch_run3,7,3,slim,42,v3_architecture-size_slim,AllWalls,0.9111099486484474,0.4912915740157914,0.1986138654721432,0.5336717960454607,,,,0.5765838533197215
slim_7ch_run4,7,4,slim,42,v3_architecture-size_slim,wall1,0.8392708044517012,0.5553184870468815,0.4581964725623906,0.6175952546869911,0.9126125445153176,0.7140897400393887,0.6284427115054432,0.7517149986867165
slim_7ch_run4,7,4,slim,42,v3_architecture-size_slim,wall2,0.9597348248534944,,0.0433594772729859,0.5015471510632402,0.979453763521544,,0.0831151261237671,0.5312844448226555
slim_7ch_run4,7,4,slim,42,v3_architecture-size_slim,wall3,,0.8505584635840368,0.3077044328763452,0.579131448230191,,0.9192451687656844,0.4706024161737186,0.6949237924697015
slim_7ch_run4,7,4,slim,42,v3_architecture-size_slim,wall4,0.9104937657446316,0.0738081449882955,0.057310155117508,0.3472040219501451,0.9531502086736816,0.1374698922387109,0.1084074617842646,0.399675854232219
slim_7ch_run4,7,4,slim,42,v3_architecture-size_slim,AllWalls,0.903166465016609,0.4932283652064045,0.2166426344573075,0.5376791548934404,,,,0.5943997725528232
slim_7ch_run5,7,5,slim,42,v3_architecture-size_slim,wall1,0.7421162152292757,0.47855204869269446,0.5014072761388513,0.5740251800202738,0.8519709635233578,0.6473252654390089,0.6679164063042422,0.7224042117555363
slim_7ch_run5,7,5,slim,42,v3_architecture-size_slim,wall2,0.9567400513676483,,0.1062885380679582,0.5315142947178032,0.9778918264579316,,0.192153374839411,0.5850226006486713
slim_7ch_run5,7,5,slim,42,v3_architecture-size_slim,wall3,,0.8571377118219574,0.24528953321512958,0.5512136225185436,,0.9230739393914486,0.3939477955489323,0.6585108674701904
slim_7ch_run5,7,5,slim,42,v3_architecture-size_slim,wall4,0.9070737768914262,0.0725517423605704,0.007881577985865355,0.32916903241262063,0.9512728745816821,0.13528809752505153,0.015639888967145875,0.36740028702462646
slim_7ch_run5,7,5,slim,42,v3_architecture-size_slim,AllWalls,0.8686433478294501,0.4694138342917407,0.2152167313519511,0.5177579711577139,,,,0.583334491724756
