run_id,channels,run_number,width_mult,seed,experiment,wall,IoU_Ashlar,IoU_Polygonal,IoU_Quarry,IoU_mean_stones,F1_Ashlar,F1_Polygonal,F1_Quarry,macro_F1
3ch_run1,3,1,base,42,v4_dice070_no-w,wall1,0.833677585806141,0.5431763590272763,0.4948990812511501,0.6239176753615224,0.9092957150802832,0.7039718511106033,0.6621170451679537,0.7584615371196133
3ch_run1,3,1,base,42,v4_dice070_no-w,wall2,0.9536088086101184,,0.0,0.4768044043050592,0.976253592231248,,0.0,0.488126796115624
3ch_run1,3,1,base,42,v4_dice070_no-w,wall3,,0.8418582716293588,0.2564793641334007,0.5491688178813797,,0.9141401209818688,0.4082508180471323,0.6611954695145005
3ch_run1,3,1,base,42,v4_dice070_no-w,wall4,0.7800962076331482,0.0155084904179176,0.1487754692361738,0.3147933890957466,0.8764652205740946,0.030543300354949,0.2590157488914615,0.3886747566068351
3ch_run1,3,1,base,42,v4_dice070_no-w,AllWalls,0.8557942006831359,0.4668477070248509,0.2250384786551811,0.515893462121056,,,,0.5741146398391431
3ch_run2,3,2,base,42,v4_dice070_no-w,wall1,0.808309364765593,0.5142988992173533,0.4768270804893484,0.599811781490765,0.893994557032416,0.6792567827701154,0.6457453100485552,0.7396655499503622
3ch_run2,3,2,base,42,v4_dice070_no-w,wall2,0.9553516401596096,,0.0,0.4776758200798047,0.9771660713482992,,0.0,0.4885830356741496
3ch_run2,3,2,base,42,v4_dice070_no-w,wall3,,0.8380796649449365,0.2629926180525719,0.5505361414987542,,0.9119078796511716,0.4164594698234806,0.6641836747373261
3ch_run2,3,2,base,42,v4_dice070_no-w,wall4,0.7267680204787585,0.0116319069547881,0.0349527307257264,0.2577842193864244,0.8417668289655457,0.022996322822206,0.0675445934641228,0.3107692484172915
3ch_run2,3,2,base,42,v4_dice070_no-w,AllWalls,0.8301430084679869,0.4546701570390259,0.1936931073169117,0.4928354242746415,,,,0.5508003771947823
3ch_run3,3,3,base,42,v4_dice070_no-w,wall1,0.8341189568533683,0.5307517310281399,0.5209319241795387,0.6286008706870156,0.909558187310152,0.6934524002421436,0.6850167530812447,0.76267578021118
3ch_run3,3,3,base,42,v4_dice070_no-w,wall2,0.9579517368274052,,0.0,0.4789758684137025,0.978524361769648,,0.0,0.4892621808848239
