run_id,channels,run_number,width_mult,seed,experiment,wall,IoU_Ashlar,IoU_Polygonal,IoU_Quarry,IoU_mean_stones,F1_Ashlar,F1_Polygonal,F1_Quarry,macro_F1,condition,family,level
4ch_run1,4,1,base,42,v6_stress_gamma080,wall1,0.9215725539862252,0.687605391675211,0.3740871450894518,0.6610883635836293,0.9591858002701588,0.8148888301342242,0.5444882392304151,0.772854289878266,gamma080,gamma,0.8
4ch_run1,4,1,base,42,v6_stress_gamma080,wall2,0.9376088463247504,,0.0495450795662414,0.4935769629454959,0.967799923192138,,0.0944124850486985,0.5311062041204183,gamma080,gamma,0.8
4ch_run1,4,1,base,42,v6_stress_gamma080,wall3,,0.573295279987826,0.2077300301098122,0.3905126550488191,,0.7287828130931177,0.3440007699252531,0.5363917915091854,gamma080,gamma,0.8
4ch_run1,4,1,base,42,v6_stress_gamma080,wall4,0.9482011456171152,0.0185855865520851,0.0612347521411886,0.342673828103463,0.9734119577439848,0.0364929305842573,0.1154028399798236,0.3751025761026886,gamma080,gamma,0.8
4ch_run1,4,1,base,42,v6_stress_gamma080,AllWalls,0.9357941819760304,0.4264954194050407,0.1731492517266735,0.5118129510359148,,,,0.5538637154026396,gamma080,gamma,0.8
4ch_run2,4,2,base,42,v6_stress_gamma080,wall1,0.9236465573296728,0.7021715894467714,0.3366471686372122,0.6541551051378854,0.9603079669810456,0.8250303245573339,0.50371882204403,0.7630190378608032,gamma080,gamma,0.8
4ch_run2,4,2,base,42,v6_stress_gamma080,wall2,0.935822263132057,,0.0,0.4679111315660285,0.9668472989022728,,0.0,0.4834236494511363,gamma080,gamma,0.8
4ch_run2,4,2,base,42,v6_stress_gamma080,wall3,,0.5081564215216737,0.222592985358866,0.3653747034402699,,0.6738776088079284,0.3641326067211626,0.5190051077645454,gamma080,gamma,0.8
4ch_run2,4,2,base,42,v6_stress_gamma080,wall4,0.9436983206094148,0.0244771871878144,0.017937660659353,0.3287043894855274,0.9710337356401416,0.047784738389352,0.0352431418005188,0.3513538719433375,gamma080,gamma,0.8
4ch_run2,4,2,base,42,v6_stress_gamma080,AllWalls,0.934389047023715,0.4116017327187531,0.1442944536638578,0.4967617444687753,,,,0.5292004167549555,gamma080,gamma,0.8
4ch_run3,4,3,base,42,v6_stress_gamma080,wall1,0.9235382398523074,0.6854608613537486,0.3124842549091536,0.6404944520384032,0.960249420280013,0.8133809298937882,0.4761721959564122,0.7499341820434046,gamma080,gamma,0.8
4ch_run3,4,3,base,42,v6_stress_gamma080,wall2,0.902063390445932,,0.0792610845202881,0.49066223748311,0.9485103335430334,,0.1468802788447027,0.5476953061938681,gamma080,gamma,0.8
4ch_run3,4,3,base,42,v6_stress_gamma080,wall3,,0.7387271352524538,0.1572193092870301,0.447973222269742,,0.8497332563285666,0.2717191253642215,0.5607261908463941,gamma080,gamma,0.8
4ch_run3,4,3,base,42,v6_stress_gamma080,wall4,0.9210424830580308,0.0477592022333141,0.0461428149647813,0.3383148334187087,0.9588986096672468,0.0911644624671674,0.0882151352658952,0.3794260691334365,gamma080,gamma,0.8
4ch_run3,4,3,base,42,v6_stress_gamma080,AllWalls,0.9155480377854234,0.4906490662798388,0.1487768659203133,0.5183246566618586,,,,0.5594454370542759,gamma080,gamma,0.8
4ch_run4,4,4,base,42,v6_stress_gamma080,wall1,0.9256957441310052,0.7214692379058848,0.3271506828994352,0.6581052216454417,0.961414332406636,0.8382017198094464,0.4930121155266362,0.7642093892475729,gamma080,gamma,0.8
4ch_run4,4,4,base,42,v6_stress_gamma080,wall2,0.9207792731940946,,0.0484799140399559,0.4846295936170252,0.9587559445733876,,0.0924765718270277,0.5256162582002076,gamma080,gamma,0.8
4ch_run4,4,4,base,42,v6_stress_gamma080,wall3,,0.6092193675179712,0.2035497628788783,0.4063845651984248,,0.7571613663308308,0.3382490182906761,0.5477051923107534,gamma080,gamma,0.8
4ch_run4,4,4,base,42,v6_stress_gamma080,wall4,0.9286906842447176,0.0047531391319083,0.0680321872713972,0.3338253368826744,0.9630270855053116,0.0094613073535952,0.1273972602739726,0.3666285510442931,gamma080,gamma,0.8
4ch_run4,4,4,base,42,v6_stress_gamma080,AllWalls,0.9250552338566056,0.4451472481852547,0.1618031367724166,0.5106685396047591,,,,0.5510398477007068,gamma080,gamma,0.8
