run_id,channels,run_number,width_mult,seed,experiment,wall,IoU_Ashlar,IoU_Polygonal,IoU_Quarry,IoU_mean_stones,F1_Ashlar,F1_Polygonal,F1_Quarry,macro_F1,condition,family,level
4ch_run1,4,1,base,42,v6_stress_shadow050,wall1,0.8393255953398239,0.4959611652797123,0.2195645053934982,0.5182837553376781,0.9126449362378982,0.6630668987813977,0.3600703438358182,0.645260726285038,shadow050,shadow,0.5
4ch_run1,4,1,base,42,v6_stress_shadow050,wall2,0.875893360728919,,0.0328280086848635,0.4543606847068913,0.9338413142936564,,0.0635691681651131,0.4987052412293848,shadow050,shadow,0.5
4ch_run1,4,1,base,42,v6_stress_shadow050,wall3,,0.7572922840192584,0.3317058394685231,0.5444990617438907,,0.8618854027938805,0.498166831799589,0.6800261172967348,shadow050,shadow,0.5
4ch_run1,4,1,base,42,v6_stress_shadow050,wall4,0.9363128442779728,0.2466748317195799,0.0779609775214847,0.4203162178396791,0.9671090568292052,0.3957324322964524,0.1446452685156331,0.5024955858804302,shadow050,shadow,0.5
4ch_run1,4,1,base,42,v6_stress_shadow050,AllWalls,0.8838439334489053,0.4999760936728503,0.1655148327670924,0.5164449532962826,,,,0.581621917672897,shadow050,shadow,0.5
4ch_run2,4,2,base,42,v6_stress_shadow050,wall1,0.8842404611581723,0.5683169352254077,0.250741185190414,0.567766193857998,0.9385643492812618,0.7247475589412364,0.4009481548370711,0.6880866876865231,shadow050,shadow,0.5
4ch_run2,4,2,base,42,v6_stress_shadow050,wall2,0.9169780105556796,,0.0436827725743071,0.4803303915649933,0.9566912145120252,,0.0837089079597643,0.5202000612358948,shadow050,shadow,0.5
4ch_run2,4,2,base,42,v6_stress_shadow050,wall3,,0.7861358574877546,0.2837981895878325,0.5349670235377936,,0.8802643474091323,0.4421227446643259,0.6611935460367291,shadow050,shadow,0.5
4ch_run2,4,2,base,42,v6_stress_shadow050,wall4,0.9355372833470224,0.0918862201530702,0.0544430139326186,0.3606221724775704,0.9666951821555688,0.1683073171125629,0.1032640232108317,0.4127555074929878,shadow050,shadow,0.5
4ch_run2,4,2,base,42,v6_stress_shadow050,AllWalls,0.9122519183536248,0.4821130042887442,0.1581662903212931,0.5175104043212206,,,,0.5705589506130337,shadow050,shadow,0.5
4ch_run3,4,3,base,42,v6_stress_shadow050,wall1,0.8281327564272709,0.4722325808258771,0.2045444686749506,0.5016366019760329,0.9059875476939596,0.6415189922790178,0.339621282558307,0.6290426075104282,shadow050,shadow,0.5
4ch_run3,4,3,base,42,v6_stress_shadow050,wall2,0.8877741934906986,,0.0377228049174713,0.462748499204085,0.9405512550726294,,0.0727030469769263,0.5066271510247778,shadow050,shadow,0.5
4ch_run3,4,3,base,42,v6_stress_shadow050,wall3,,0.8147536409985481,0.2067452128789488,0.5107494269387485,,0.8979220348060456,0.3426493192970103,0.6202856770515279,shadow050,shadow,0.5
4ch_run3,4,3,base,42,v6_stress_shadow050,wall4,0.921941942133262,0.1312369295981811,0.0635431951577402,0.3722406889630612,0.9593858398344244,0.2320237717925225,0.1194933980059283,0.436967669877625,shadow050,shadow,0.5
4ch_run3,4,3,base,42,v6_stress_shadow050,AllWalls,0.8792829640170772,0.472741050474202,0.1281389204072777,0.4933876449661856,,,,0.5482307763660897,shadow050,shadow,0.5
