run_id,channels,run_number,width_mult,seed,experiment,wall,IoU_Ashlar,IoU_Polygonal,IoU_Quarry,IoU_mean_stones,F1_Ashlar,F1_Polygonal,F1_Quarry,macro_F1
4ch_run1,4,1,base,42,v7_groupnorm,wall1,0.8976641374152328,0.6504227972345507,0.2832208798122384,0.6104359381540073,0.9460727214225818,0.7881893031584385,0.4414218694036204,0.7252279646615469
4ch_run1,4,1,base,42,v7_groupnorm,wall2,0.9730773890731528,,0.1073383346891225,0.5402078618811376,0.9863550152285238,,0.193867278548172,0.5901111468883479
4ch_run1,4,1,base,42,v7_groupnorm,wall3,,0.8455873151087124,0.2705823692822096,0.5580848421954611,,0.9163341210533884,0.4259186587565665,0.6711263899049774
4ch_run1,4,1,base,42,v7_groupnorm,wall4,0.949860220446506,0.0761016328710565,0.030899340908554,0.3522870647420389,0.9742854492708138,0.1414394896289046,0.059946378239648,0.3918904390464555
4ch_run1,4,1,base,42,v7_groupnorm,AllWalls,0.9402005823116304,0.5240372484047733,0.1730102311730311,0.545749353963145,,,,0.594588985125332
4ch_run2,4,2,base,42,v7_groupnorm,wall1,0.8984137510545636,0.6777532121528772,0.2611240111771419,0.6124303247948609,0.946488878470773,0.8079295658545521,0.4141131385380681,0.7228438609544644
4ch_run2,4,2,base,42,v7_groupnorm,wall2,0.9607745235601652,,0.0116530137356024,0.4862137686478838,0.9799949071305694,,0.0230375703475103,0.5015162387390398
4ch_run2,4,2,base,42,v7_groupnorm,wall3,,0.8265613859298934,0.2457415937604505,0.5361514898451719,,0.9050463809176552,0.3945306072965647,0.64978849410711
4ch_run2,4,2,base,42,v7_groupnorm,wall4,0.9304714687756152,0.0387725216719955,0.0433588317107093,0.3375342740527733,0.9639836525175466,0.0746506494214685,0.0831139400806478,0.3739160806732209
4ch_run2,4,2,base,42,v7_groupnorm,AllWalls,0.9298865811301146,0.5143623732515886,0.140469362595976,0.5282394389925598,,,,0.5620161686184588
4ch_run3,4,3,base,42,v7_groupnorm,wall1,0.8877875992481821,0.6463797491606648,0.2592209978573614,0.5977961154220693,0.9405587785424024,0.7852134351023127,0.4117164473884112,0.7124962203443754
4ch_run3,4,3,base,42,v7_groupnorm,wall2,0.9663902622744605,,0.0545213256165444,0.5104557939455024,0.982907900649048,,0.1034048800950849,0.5431563903720664
4ch_run3,4,3,base,42,v7_groupnorm,wall3,,0.8606437394634545,0.3352401458246679,0.5979419426440612,,0.9251032008004224,0.5021421006145942,0.7136226507075083
4ch_run3,4,3,base,42,v7_groupnorm,wall4,0.9304251775322928,0.0204933748029483,0.0703919741662093,0.3404368421671502,0.963958809034678,0.0401636606546426,0.1315256015835539,0.3785493570909582
4ch_run3,4,3,base,42,v7_groupnorm,AllWalls,0.9282010130183118,0.5091722878090225,0.1798436108661957,0.5390723038978433,,,,0.5869561546287271
4ch_run4,4,4,base,42,v7_groupnorm,wall1,0.9066272366330012,0.6678541598870603,0.2495179896668473,0.6079997953956363,0.9510272582007744,0.8008543863718689,0.3993827887718129,0.717088144448152
4ch_run4,4,4,base,42,v7_groupnorm,wall2,0.9676153927175069,,0.0414299602379273,0.5045226764777171,0.9835411903147564,,0.0795636035446151,0.5315523969296858
4ch_run4,4,4,base,42,v7_groupnorm,wall3,,0.8360448305115123,0.3284186571266019,0.5822317438190572,,0.9107019791870712,0.4944505338956598,0.7025762565413655
4ch_run4,4,4,base,42,v7_groupnorm,wall4,0.9493010536892812,0.0,0.086038592508513,0.3451132153992648,0.9739912179215392,0.0,0.1584448160535117,0.3774786779916836
4ch_run4,4,4,base,42,v7_groupnorm,AllWalls,0.9411812276799298,0.5012996634661909,0.1763512998849724,0.5396107303436978,,,,0.5821738689777217
4ch_run5,4,5,base,42,v7_groupnorm,wall1,0.9021944583025028,0.6765814309414049,0.2843030005825967,0.6210262966088348,0.9485827848616604,0.807096414710382,0.4427350873643193,0.7328047623121204
4ch_run5,4,5,base,42,v7_groupnorm,wall2,0.9710096384758228,,0.0590602050996876,0.5150349217877551,0.9852916185906652,,0.1115332344946874,0.5484124265426763
4ch_run5,4,5,base,42,v7_groupnorm,wall3,,0.8600745246314867,0.3116559013505578,0.5858652129910222,,0.9247742638719084,0.4752098489087856,0.6999920563903471
4ch_run5,4,5,base,42,v7_groupnorm,wall4,0.949936174832527,0.0101948154974698,0.0185671039354187,0.3262326980884718,0.9743254031523504,0.0201838602635263,0.0364573013671488,0.3436555215943419
4ch_run5,4,5,base,42,v7_groupnorm,AllWalls,0.9410467572036176,0.5156169236901205,0.1683965527420652,0.5416867445452678,,,,0.5812161917098715
7ch_run1,7,1,base,42,v7_groupnorm,wall1,0.83664982110957,0.5687753435851348,0.5288105982085878,0.6447452543010975,0.9110607928561224,0.7251201976253757,0.6917934750429273,0.7759914885081418
7ch_run1,7,1,base,42,v7_groupnorm,wall2,0.9598922982132037,,0.0961590955619753,0.5280256968875895,0.9795357623358376,,0.1754473341530352,0.5774915482444365
7ch_run1,7,1,base,42,v7_groupnorm,wall3,,0.8581098261461554,0.3757504856083348,0.6169301558772451,,0.9236373588593876,0.5462480145041475,0.7349426866817675
7ch_run1,7,1,base,42,v7_groupnorm,wall4,0.909237753060616,0.060881133588479,0.0542210020590253,0.3414466295693735,0.9524615272278756,0.1147746560117359,0.1028645833333333,0.3900335888576483
7ch_run1,7,1,base,42,v7_groupnorm,AllWalls,0.9019266241277965,0.4959221011065898,0.2637352953594808,0.5538613401979556,,,,0.6196148280729985
7ch_run2,7,2,base,42,v7_groupnorm,wall1,0.815800396033262,0.5220816408007252,0.4650726540145018,0.6009848969494963,0.8985573500429153,0.6860100362633273,0.6348799873373356,0.739815791214526
7ch_run2,7,2,base,42,v7_groupnorm,wall2,0.964785207884286,,0.0476642558357643,0.5062247318600251,0.9820770270590372,,0.0909914709226012,0.5365342489908193
7ch_run2,7,2,base,42,v7_groupnorm,wall3,,0.8746746484641966,0.2922474282647621,0.5834610383644794,,0.933148212337285,0.4523087790659313,0.6927284957016081
7ch_run2,7,2,base,42,v7_groupnorm,wall4,0.946981483747522,0.1934435962475533,0.0668525765003973,0.4024258854984909,0.9727688646784516,0.3241771908714951,0.1253267376823407,0.4740909310774291
7ch_run2,7,2,base,42,v7_groupnorm,AllWalls,0.90918902922169,0.5300666285041583,0.2179592286538563,0.5524049621265682,,,,0.6107923667460956
7ch_run3,7,3,base,42,v7_groupnorm,wall1,0.8185246839021574,0.5421148784888569,0.4991283726481766,0.6199226450130636,0.9002073946511212,0.7030797589088615,0.665891436323732,0.7563928632945717
7ch_run3,7,3,base,42,v7_groupnorm,wall2,0.9603389785848268,,0.0502334423956599,0.5052862104902434,0.9797682840322828,,0.0956614793775253,0.537714881704904
7ch_run3,7,3,base,42,v7_groupnorm,wall3,,0.890240469858422,0.3496844979009452,0.6199624838796836,,0.9419335624795934,0.5181722075711489,0.7300528850253711
7ch_run3,7,3,base,42,v7_groupnorm,wall4,0.918170740844954,0.0866198109467933,0.0240880293431143,0.3429595270449538,0.957339950290869,0.159429839349827,0.0470428882145322,0.387937559285076
7ch_run3,7,3,base,42,v7_groupnorm,AllWalls,0.8990114677773127,0.506325053098024,0.230783585571974,0.5453733688157703,,,,0.6030245473274807
7ch_run4,7,4,base,42,v7_groupnorm,wall1,0.8497043670054506,0.6077488842808834,0.4888669014920647,0.6487733842594663,0.9187461328007416,0.7560246382042657,0.6566965804695475,0.7771557838248514
7ch_run4,7,4,base,42,v7_groupnorm,wall2,0.958765034900887,,0.0645063795238913,0.5116357072123892,0.9789484882748076,,0.1211949139332398,0.5500717011040237
