experiment,run_id,channels,run_number,wall,kernel_radius,gap_iou,gap_precision,gap_recall,gap_f1,gap_tp,gap_fp,gap_fn,gt_gap_pixels,pred_gap_pixels,gap_ratio,n_stones,mean_coverage,mean_separation,mean_wrong_class_coverage,detected_c90_s90,merged_c90_s90,undetected_c90_s90,detection_rate_c90_s90,merge_rate_c90_s90,detected_c70_s70,merged_c70_s70,undetected_c70_s70,detection_rate_c70_s70,merge_rate_c70_s70,detected_c50_s50,merged_c50_s50,undetected_c50_s50,detection_rate_c50_s50,merge_rate_c50_s50,Ashlar_n,Ashlar_detection_rate_c90_s90,Ashlar_merge_rate_c90_s90,Ashlar_mean_coverage,Ashlar_mean_separation,Polygonal_n,Polygonal_detection_rate_c90_s90,Polygonal_merge_rate_c90_s90,Polygonal_mean_coverage,Polygonal_mean_separation,Quarry_n,Quarry_detection_rate_c90_s90,Quarry_merge_rate_c90_s90,Quarry_mean_coverage,Quarry_mean_separation
v2_baseline_ens,3ch_run1,3,1,wall1,45,0.4368809301112249,0.6320278946595984,0.585910763383773,0.6080962186301786,391887,228160,276964,668851,620047,0.9270330761260729,179,0.7938381903645704,0.6920884642569545,0.07299588566199437,55,55,69,0.30726256983240224,0.30726256983240224,93,45,41,0.5195530726256983,0.25139664804469275,112,38,29,0.6256983240223464,0.2122905027932961,83.0,0.3614457831325301,0.3614457831325301,0.8601664910746816,0.6447041704211157,46.0,0.45652173913043476,0.30434782608695654,0.8516361883163924,0.7628395269848841,50,0.08,0.22,0.63055905307011,0.710480496030999
v2_baseline_ens,3ch_run1,3,1,wall2,45,0.4278609188354603,0.7452317125090007,0.5011668266006146,0.5993033539771039,1752197,599014,1744038,3496235,2351211,0.672497987120431,105,0.9070901803684199,0.3433745080384957,0.052331201446184215,17,77,11,0.1619047619047619,0.7333333333333333,23,74,8,0.21904761904761905,0.7047619047619048,24,73,8,0.22857142857142856,0.6952380952380952,97.0,0.17525773195876287,0.7938144329896907,0.9819017416359184,0.3433745080384957,,,,,,8,0.0,0.0,0.0,0.0
v2_baseline_ens,3ch_run1,3,1,wall3,45,0.5127161100283566,0.5979351593716135,0.7824879629103368,0.677874859174661,289116,194408,80367,369483,483524,1.3086501950022058,202,0.7116493051826208,0.8862954975995523,0.09422077060349317,103,16,83,0.5099009900990099,0.07920792079207921,133,11,58,0.6584158415841584,0.054455445544554455,146,7,49,0.7227722772277227,0.034653465346534656,,,,,,151.0,0.6357615894039735,0.08609271523178808,0.8050385522919324,0.8922256771173999,51,0.13725490196078433,0.058823529411764705,0.4351438872707371,0.8584236538656681
v2_baseline_ens,3ch_run1,3,1,wall4,45,0.40348646294859775,0.48281541052185595,0.7106244913388255,0.574977349052458,847834,908187,345249,1193083,1756021,1.4718347340461644,177,0.7701156809244426,0.835070422109932,0.15342366047147105,78,17,82,0.4406779661016949,0.096045197740113,110,18,49,0.6214689265536724,0.1016949152542373,133,14,30,0.751412429378531,0.07909604519774012,168.0,0.4642857142857143,0.10119047619047619,0.798883162159672,0.8328785861045794,1.0,0.0,0.0,0.5827996122244649,0.9955825080672082,8,0.0,0.0,0.18941308357211833,0.9367367675755529
v2_baseline_ens,3ch_run1,3,1,AllWalls,45,0.42847768197673863,0.6296599583595849,0.5728410175757884,0.5999081223079493,3281034,1929769,2446618,5727652,5210803,0.9097624995373322,663,0.7803999097804796,0.7310109433074453,0.09766157353047109,253,165,245,0.3815987933634992,0.248868778280543,359,148,156,0.5414781297134238,0.22322775263951736,415,132,116,0.6259426847662142,0.19909502262443438,348.0,0.35919540229885055,0.3563218390804598,0.864513387760654,0.6505243899931181,198.0,0.5909090909090909,0.13636363636363635,0.8147418468225268,0.8621738826287929,117,0.09401709401709402,0.11965811965811966,0.4720991074605986,0.776572486275988
v2_baseline_ens,4ch_run1,4,1,wall1,45,0.3602359375908433,0.5749768881667414,0.49097631610029735,0.5296668432814216,328390,242746,340461,668851,571136,0.8539061764129828,179,0.7319533271034501,0.3506012432480797,0.05418017382154593,12,91,76,0.0670391061452514,0.5083798882681564,26,101,52,0.1452513966480447,0.5642458100558659,39,99,41,0.21787709497206703,0.553072625698324,83.0,0.04819277108433735,0.7831325301204819,0.9315743276476036,0.19937722641421973,46.0,0.15217391304347827,0.4782608695652174,0.7274121892461075,0.4464532606604409,50,0.02,0.08,0.40476031302891,0.647899887499927
v2_baseline_ens,4ch_run1,4,1,wall2,45,0.49940263534302753,0.7600277482215546,0.5928909240940612,0.6661354643127942,2072886,654496,1423349,3496235,2727382,0.7800911551998078,105,0.899092492921523,0.44305487551012895,0.05065206278806822,22,69,14,0.20952380952380953,0.6571428571428571,27,70,8,0.2571428571428571,0.6666666666666666,38,59,8,0.3619047619047619,0.5619047619047619,97.0,0.2268041237113402,0.711340206185567,0.9724001430025973,0.44762245154631586,,,,,,8,0.0,0.0,0.010237235688499227,0.0
v2_baseline_ens,4ch_run1,4,1,wall3,45,0.486233370088315,0.6709268264937577,0.6385084022810251,0.6543163138093475,235918,115712,133565,369483,351630,0.9516811328261382,202,0.6758048198521355,0.5282349275867305,0.1422898440570835,48,68,86,0.2376237623762376,0.33663366336633666,62,71,69,0.3069306930693069,0.35148514851485146,78,65,59,0.38613861386138615,0.3217821782178218,,,,,,151.0,0.26490066225165565,0.4105960264900662,0.7758795878670031,0.5483256658744986,51,0.1568627450980392,0.11764705882352941,0.3795050165139982,0.43263072470010966
v2_baseline_ens,4ch_run1,4,1,wall4,45,0.45793873807034385,0.5109312234230298,0.8153364015747437,0.6282002475309066,972764,931140,220319,1193083,1903904,1.595785037587494,177,0.8976166469997178,0.7749565009460498,0.0304436355574168,107,48,22,0.6045197740112994,0.2711864406779661,118,45,14,0.6666666666666666,0.2542372881355932,127,39,11,0.7175141242937854,0.22033898305084745,168.0,0.6369047619047619,0.2857142857142857,0.9441051168938049,0.7795693372612049,1.0,0.0,0.0,0.2684868807908078,0.0,8,0.0,0.0,0.0,0.0
v2_baseline_ens,4ch_run1,4,1,AllWalls,45,0.47055233580465256,0.6499683474335494,0.630268389210797,0.6399667993416597,3609958,1944094,2117694,5727652,5554052,0.9696908960251077,663,0.7855431032237691,0.5387465921359714,0.07412939622925721,189,276,198,0.2850678733031674,0.416289592760181,233,287,143,0.3514328808446455,0.43288084464555054,282,262,119,0.4253393665158371,0.3951734539969834,348.0,0.382183908045977,0.5229885057471264,0.9490032836326503,0.5486647593455612,198.0,0.23737373737373738,0.42424242424242425,0.7620568957274201,0.5220751420986605,117,0.07692307692307693,0.08547008547008547,0.3390997382834821,0.5311082670135774
v2_baseline_ens,7ch_run1,7,1,wall1,45,0.4661984873346954,0.648326213592233,0.623995478813667,0.635928206667525,417360,226390,251491,668851,643750,0.962471462253925,179,0.8101693185581186,0.6356806078157237,0.04747725084658046,44,71,64,0.24581005586592178,0.39664804469273746,73,71,35,0.40782122905027934,0.39664804469273746,98,58,23,0.547486033519553,0.3240223463687151,83.0,0.27710843373493976,0.5060240963855421,0.8793660487593332,0.5719843247243418,46.0,0.3695652173913043,0.43478260869565216,0.8295108682611307,0.6331203262582843,50,0.08,0.18,0.6775085206973308,0.7528941989376509
v2_baseline_ens,7ch_run1,7,1,wall2,45,0.5326295444513696,0.7558063109167852,0.6433403361044094,0.6950532127997483,2249269,726717,1246966,3496235,2975986,0.8511973594452318,105,0.9106369563556599,0.547442959917178,0.03905262489511227,32,61,12,0.3047619047619048,0.580952380952381,38,59,8,0.3619047619047619,0.5619047619047619,50,48,7,0.47619047619047616,0.45714285714285713,97.0,0.32989690721649484,0.6288659793814433,0.9797362394752879,0.5439507756726389,,,,,,8,0.0,0.0,0.07280814853017019,0.8861848316374699
v2_baseline_ens,7ch_run1,7,1,wall3,45,0.5881777759893769,0.6962363862830415,0.79121908179808,0.740695134866704,292342,127547,77141,369483,419889,1.13642305599987,202,0.7962781000393091,0.8851230982585602,0.0683997841572872,121,20,61,0.599009900990099,0.09900990099009901,145,14,43,0.7178217821782178,0.06930693069306931,158,13,31,0.7821782178217822,0.06435643564356436,,,,,,151.0,0.7086092715231788,0.10596026490066225,0.851969128145853,0.9081914944615699,51,0.27450980392156865,0.0784313725490196,0.6313889776062089,0.8005389788475256
v2_baseline_ens,7ch_run1,7,1,wall4,45,0.46625749270677,0.5005753413186506,0.8718119359675731,0.6359830998660952,1040144,1037753,152939,1193083,2077897,1.7416198202472082,177,0.86041604038604,0.8715080099220203,0.051467209266786294,120,23,34,0.6779661016949152,0.12994350282485875,137,19,21,0.7740112994350282,0.10734463276836158,142,17,18,0.8022598870056498,0.096045197740113,168.0,0.7142857142857143,0.13690476190476192,0.9013407219816753,0.8700898969924762,1.0,0.0,0.0,0.7131652972680895,0.9798408790778812,8,0.0,0.0,0.01940406976744186,1.0
v2_baseline_ens,7ch_run1,7,1,AllWalls,45,0.509697288791736,0.6537148538248003,0.6982119374570941,0.6752311109992981,3999115,2118407,1728537,5727652,6117522,1.068068032066194,663,0.8352624491636756,0.7592387928520187,0.053582814412545816,317,175,171,0.4781297134238311,0.26395173453996984,393,163,107,0.5927601809954751,0.2458521870286576,448,136,79,0.6757164404223228,0.20512820512820512,348.0,0.5028735632183908,0.3620689655172414,0.917951260255888,0.7084028067845252,198.0,0.6262626262626263,0.18181818181818182,0.8460505231682015,0.8430774564481753,117,0.15384615384615385,0.1111111111111111,0.5710595011894367,0.778923766963782
v8_coslr_ens,3ch_run1,3,1,wall1,45,0.4350633560607428,0.6002238476898127,0.6125684195732682,0.6063333081753188,409717,272890,259134,668851,682607,1.020566613490897,179,0.7910454166434704,0.6214929991263661,0.07538719357999941,44,66,69,0.24581005586592178,0.3687150837988827,77,62,40,0.4301675977653631,0.3463687150837989,98,53,28,0.547486033519553,0.29608938547486036,83.0,0.3493975903614458,0.43373493975903615,0.8803210307414232,0.5972398825216075,46.0,0.2826086956521739,0.3695652173913043,0.8088832416021772,0.6525274959066046,50,0.04,0.26,0.6264370982788585,0.6366939187180664
v8_coslr_ens,3ch_run1,3,1,wall2,45,0.41120116221082176,0.6480051360661976,0.5294641235500475,0.582767607088169,1851131,1005530,1645104,3496235,2856661,0.8170677886354893,105,0.8937490835550523,0.34168373689103915,0.04805818211799427,16,72,17,0.1523809523809524,0.6857142857142857,23,74,8,0.21904761904761905,0.7047619047619048,26,71,8,0.24761904761904763,0.6761904761904762,97.0,0.16494845360824742,0.7422680412371134,0.9674603481781493,0.34168373689103915,,,,,,8,0.0,0.0,0.0,0.0
v8_coslr_ens,3ch_run1,3,1,wall3,45,0.5197675630789804,0.60744143644552,0.7826638844006355,0.6840092862963265,289181,186883,80302,369483,476064,1.288459820884858,202,0.7178820592127845,0.8257587605451849,0.09654448767051269,97,31,74,0.4801980198019802,0.15346534653465346,121,23,58,0.599009900990099,0.11386138613861387,136,18,48,0.6732673267326733,0.0891089108910891,,,,,,151.0,0.5827814569536424,0.17218543046357615,0.8139999938500696,0.8470413529463025,51,0.17647058823529413,0.09803921568627451,0.4332975860710188,0.7222813285259577
v8_coslr_ens,3ch_run1,3,1,wall4,45,0.38624788704158486,0.45837280474089453,0.7105398367087621,0.5572565926370975,847733,1001707,345350,1193083,1849440,1.550135237866938,177,0.8085794264816638,0.8699769425419148,0.10496336460593739,88,19,70,0.4971751412429379,0.10734463276836158,119,22,36,0.672316384180791,0.12429378531073447,140,15,22,0.7909604519774012,0.0847457627118644,168.0,0.5238095238095238,0.1130952380952381,0.8396490625990516,0.8736311046545546,1.0,0.0,0.0,0.6736725839518142,0.9967973457138578,8,0.0,0.0,0.1729804233327512,0.6255065045851994
v8_coslr_ens,3ch_run1,3,1,AllWalls,45,0.41463113426764886,0.5793510813378593,0.593220747349874,0.5862038862622693,3397762,2467010,2329890,5727652,5864772,1.0239400019414588,663,0.7897006301669662,0.7039862961214254,0.08540108418990011,245,188,230,0.3695324283559578,0.28355957767722473,340,181,142,0.5128205128205128,0.2730015082956259,400,157,106,0.6033182503770739,0.2368024132730015,348.0,0.382183908045977,0.3649425287356322,0.8849751202340785,0.6583761049793005,198.0,0.51010101010101,0.21717171717171718,0.8121025291364267,0.8018324619948016,117,0.09401709401709402,0.15384615384615385,0.46840918966005896,0.6702346398417685
v8_coslr_ens,4ch_run1,4,1,wall1,45,0.3533738995830999,0.6317030315634006,0.44506923066572374,0.5222117844772313,297685,173557,371166,668851,471242,0.7045545270919831,179,0.7451359877979198,0.13765324889508185,0.07223370960039023,1,108,70,0.00558659217877095,0.6033519553072626,10,117,52,0.055865921787709494,0.6536312849162011,17,126,36,0.09497206703910614,0.7039106145251397,83.0,0.0,0.8554216867469879,0.9381703530434757,0.07771027470437442,46.0,0.021739130434782608,0.6521739130434783,0.7833389081701709,0.04675260887858433,50,0.0,0.14,0.3895522547478257,0.4408633778096203
v8_coslr_ens,4ch_run1,4,1,wall2,45,0.48293710874876394,0.738120302495048,0.5827946348000063,0.6513251383347534,2037587,722921,1458648,3496235,2760508,0.7895659187669021,105,0.9023940897569136,0.32956073521033263,0.056188275390708746,14,75,16,0.13333333333333333,0.7142857142857143,18,79,8,0.17142857142857143,0.7523809523809524,25,73,7,0.23809523809523808,0.6952380952380952,97.0,0.14432989690721648,0.7731958762886598,0.969235388307708,0.32757861057746723,,,,,,8,0.0,0.0,0.0919433448285329,0.42569377990430624
v8_coslr_ens,4ch_run1,4,1,wall3,45,0.4685727552477175,0.6543427563847335,0.6227079459677441,0.6381335260011399,230080,121540,139403,369483,351620,0.9516540679814768,202,0.7030366262120386,0.2987242670298592,0.1493908073125026,24,99,79,0.1188118811881188,0.4900990099009901,34,104,64,0.16831683168316833,0.5148514851485149,38,109,55,0.18811881188118812,0.5396039603960396,,,,,,151.0,0.13245033112582782,0.6225165562913907,0.8271439769195541,0.28285011931541754,51,0.0784313725490196,0.09803921568627451,0.335581529019199,0.39142928968219837
v8_coslr_ens,4ch_run1,4,1,wall4,45,0.4654488112589432,0.5132616161762185,0.8332362459275675,0.6352303917856861,994120,942748,198963,1193083,1936868,1.6234142972450365,177,0.8975521975034817,0.6014528800868257,0.032816223246704315,75,83,19,0.423728813559322,0.4689265536723164,84,80,13,0.4745762711864407,0.4519774011299435,93,74,10,0.5254237288135594,0.4180790960451977,168.0,0.44642857142857145,0.49404761904761907,0.9424159493747791,0.5992586658416761,1.0,0.0,0.0,0.540859463153378,0.9700808732719812,8,0.0,0.0,0.0,0.0
v8_coslr_ens,4ch_run1,4,1,AllWalls,45,0.4629654631160793,0.6448040827225203,0.6214539570490665,0.6329137287082288,3559472,1960766,2168180,5727652,5520238,0.9637872552312885,663,0.7979047642432151,0.3483178743886088,0.08267725117086948,114,365,184,0.17194570135746606,0.55052790346908,146,380,137,0.22021116138763197,0.5731523378582202,173,382,108,0.2609351432880845,0.5761689291101055,348.0,0.2557471264367816,0.6580459770114943,0.9488788835155718,0.39913946519505455,198.0,0.10606060606060606,0.6262626262626263,0.8155211603728987,0.2340201474403359,117,0.03418803418803419,0.10256410256410256,0.31904117500853585,0.41825281711326
